JobKey,JobId,JobTitle,JobLevel,JobTag
803,SoftwareEngineerprinciple,Software Engineer,principle,Distributed Systems (Back-End)
804,SoftwareEngineerEngineer3,Software Engineer,Engineer 3,Full Stack
805,SoftwareEngineer603,Software Engineer,603,Full Stack
806,SoftwareEngineerG4,Software Engineer,G4,Distributed Systems (Back-End)
807,SoftwareEngineeringManagerSeniorSDE,Software Engineering Manager,Senior SDE,API Development (Back-End)
808,SoftwareEngineerAssociateMemberofTechnicalStaff,Software Engineer,Associate Member of Technical Staff,DevOps
809,SoftwareEngineerMemberofTechnicalStaff3,Software Engineer,Member of Technical Staff 3,Distributed Systems (Back-End)
810,ProductManagerM2,Product Manager,M2,Semiconductors
811,ProductManagerMTS1,Product Manager,MTS 1,Product Management
812,ProductManager25,Product Manager,25,Product Management
813,SoftwareEngineerK,Software Engineer,K,Full Stack
814,SoftwareEngineerMemberofTechnicalStaff2,Software Engineer,Member of Technical Staff 2,Distributed Systems (Back-End)
815,SoftwareEngineerProductDeveloper,Software Engineer,Product Developer,Full Stack
816,SoftwareEngineeringManagerDirectorofSoftwareEng,Software Engineering Manager,Director of Software Eng,Security
817,SoftwareEngineeringManagerSTSM,Software Engineering Manager,STSM,API Development (Back-End)
818,SoftwareEngineeringManagerSoftwareEngineeringmanager,Software Engineering Manager,Software Engineering manager,Engineering Manager
819,SoftwareEngineeringManagerBand9,Software Engineering Manager,Band 9,API Development (Back-End)
820,SoftwareEngineerProductEngineer2,Software Engineer,Product Engineer 2,Full Stack
821,ProductManagerPM,Product Manager,PM,Full Stack
822,SalesStaff,Sales,Staff,Client relations
823,SoftwareEngineeringManagerSeniorStaffSoftwareEngineer,Software Engineering Manager,Senior Staff Software Engineer,Distributed Systems (Back-End)
824,SoftwareEngineerManager,Software Engineer,Manager,Distributed Systems (Back-End)
825,SolutionArchitectT5,Solution Architect,T5,ERP
826,SoftwareEngineer26,Software Engineer,26,API Development (Back-End)
827,ProductManager10,Product Manager,10,Offering Management
828,SolutionArchitectGrade9,Solution Architect,Grade 9,Security
